name,total_trades,win_rate,profit_factor,expectancy,max_dd,sharpe,avg_trades_day,avg_duration,final_balance,dd_adjusted_return
Sess: morning_only | Daily Bias Reset: htf_sweep,795,0.18490566037735848,1.0820736167081415,0.06689774041116452,102.69670823720996,0.0188730526748297,2.5399361022364215,194.09937106918238,93685.76000000004,0.0006514107565808575
Sess: morning_only | Stop Mult: 0.90,917,0.18429661941112324,1.0745963218475312,0.05476362471947402,100.89534875529485,0.016673908570038306,2.929712460063898,160.1352235550709,88159.9199999992,0.0005427765045175098
Liq: stacked_only | Max Setups: 1,2020,0.14108910891089108,1.0562857342690557,0.04831793184513046,231.05152978418784,0.008968570502982701,6.453674121405751,144.03267326732674,124589.92000000004,0.00020912188675081055
Liq: stacked_only | Max Setups: 2,2044,0.1404109589041096,1.055598778901111,0.04776623345434888,220.73238084801767,0.00888261622023004,6.5303514376996805,143.8620352250489,121571.92000000004,0.00021639885036730378
Sess: lunch_excluded | Daily Bias Reset: htf_sweep,1076,0.1654275092936803,1.0429711161035788,0.03586251139499431,165.995579185302,0.009809000371732055,3.437699680511182,213.26765799256506,109633.76000000004,0.00021604497885429068
Sess: lunch_excluded | Stop Mult: 0.90,1294,0.1615146831530139,1.0415836376857222,0.03138054265850644,175.09304446259722,0.009196105966382923,4.134185303514377,178.09891808346214,121007.91999999949,0.00017922209734156427
Liq: daily_stacked_4h | Max Setups: 2,924,0.12987012987012986,1.0348720091832964,0.030307286565369906,139.86050778960194,0.006619523793639706,2.952076677316294,168.92207792207793,78166.0,0.0002166965288797781
Liq: daily_stacked_4h | Max Setups: 1,913,0.1303395399780942,1.0210387799968306,0.018274681106496802,133.8605077896019,0.004015999611583728,2.916932907348243,170.09419496166484,78050.0,0.00013652033305611256
Sess: morning_only | Stop Mult: 1.10,917,0.20065430752453653,1.0167722979139118,0.01474755049944064,147.32515567418332,0.004064636520725113,2.929712460063898,187.7382769901854,72491.92000000093,0.00010010205271430738
Sess: morning_only | Stop Mult: 1.05,917,0.1941112322791712,0.9923151757892664,-0.0065027691890064895,134.65338271278574,-0.0019205686538434268,2.929712460063898,178.91930207197382,71291.31999999992,-4.829265376033537e-05
Sess: lunch_excluded | Stop Mult: 1.10,1294,0.178516228748068,0.9913435170214419,-0.0078222763113046,235.3317296457186,-0.0021067187525064942,4.134185303514377,213.0873261205564,102007.52000000062,-3.323936097814216e-05
Sess: lunch_excluded | Stop Mult: 1.05,1294,0.1723338485316847,0.9759572124783085,-0.020894371489581936,213.13344153280931,-0.005915935916112615,4.134185303514377,205.01159196290573,100821.7199999996,-9.803422372066141e-05
Sess: morning_only | Daily Bias Reset: entire_day,739,0.17456021650879566,0.9605351572709688,-0.03257585123776593,126.37549019590475,-0.00970613317826651,2.3610223642172525,187.90933694181325,62169.76000000004,-0.00025777032545842155
Sess: morning_only | Daily Bias Reset: lunch_reset,741,0.17408906882591094,0.9573961534890375,-0.035186982543466964,128.37549019590477,-0.010497132808525203,2.36741214057508,187.44669365721998,60833.76000000004,-0.000274094240962746
Sess: lunch_excluded | Daily Bias Reset: lunch_reset,1118,0.15384615384615385,0.9456101765292698,-0.04602215832138707,196.97493945686813,-0.013170433470781864,3.571884984025559,210.10554561717353,87797.76000000004,-0.00023364473901241943
Liq: exclude_singular_1h | Max Setups: 1,3717,0.14124293785310735,0.9424500800623105,-0.049406676243119264,454.99702317234943,-0.011079266436035002,11.875399361022364,140.61097659402745,69067.42400000006,-0.00010858681206009646
"Penetration Allowed: ['small', 'medium']",3616,0.1357853982300885,0.9417317441655751,-0.05034095340536332,433.00922168367293,-0.011145420024624804,11.552715654952078,138.35176991150442,51943.42400000006,-0.00011625838639099237
Baseline (No Filters),3763,0.1411108158384268,0.9396179158219851,-0.05184625933703253,446.16269137928373,-0.01165787251278327,12.022364217252397,140.34732925857028,60257.42400000006,-0.00011620482917734135
Liq: exclude_singular_1h | Max Setups: 2,3759,0.14072891726523012,0.938473030180729,-0.052852780413503116,450.7388190683886,-0.011879327369152396,12.00958466453674,140.14711359404097,57095.42400000006,-0.0001172581064190169
"Penetration Allowed: ['medium', 'large']",1701,0.16049382716049382,0.9298284472757418,-0.05887022076396988,181.65190697307446,-0.016853794447976057,5.434504792332269,136.78953556731335,35262.01600000006,-0.0003240825915067106
Sess: lunch_excluded | Daily Bias Reset: entire_day,980,0.15510204081632653,0.9271556935991407,-0.061546005816236246,174.88275663767024,-0.017781414409518692,3.130990415335463,208.84285714285716,81529.76000000004,-0.00035192723970922966
Liq: daily_only | Max Setups: 1,59,0.13559322033898305,0.5211727134090013,-0.4139015528159481,33.08426966292135,-0.2455595970098466,0.18849840255591055,114.94915254237289,95604.0,-0.012510524095982129
Liq: daily_only | Max Setups: 2,59,0.13559322033898305,0.5211727134090013,-0.4139015528159481,33.08426966292135,-0.2455595970098466,0.18849840255591055,114.94915254237289,95604.0,-0.012510524095982129
