return,duration,dollar_pnl
-1.0,418,-132.0
-1.0,5,-60.0
-1.0,2,-32.0
-1.0,259,-136.0
0.6118421052631579,134,186.0
-1.0,61,-148.0
-1.0,1,-108.0
-1.0,19,-216.0
-1.0,767,-196.0
-1.0,10,-216.0
-1.0,13,-124.0
-1.0,16,-92.0
1.1986301369863013,182,700.0
6.214285714285715,791,2784.0000000000005
-1.0,56,-216.0
-1.0,2,-88.0
-1.0,1,-156.0
4.445121951219512,102,1458.0
7.042857142857143,1504,1972.0
-1.0,22,-144.0
2.5402298850574714,542,884.0
-1.0,6,-212.0
2.611111111111111,188,846.0
-1.0,8,-216.0
-1.0,63,-196.0
-1.0,2,-128.0
-1.0,44,-188.0
-1.0,9,-100.0
-1.0,16,-184.0
-1.0,14,-220.0
-1.0,3,-176.0
-1.0,35,-164.0
-1.0,18,-188.0
-1.0,12,-144.0
-1.0,9,-272.0
-1.0,1,-28.0
-1.0,125,-208.0
-1.0,13,-208.0
-1.0,49,-776.0
-1.0,8,-536.0
-1.0,5,-1320.0
-1.0,78,-996.0
-1.0,308,-516.0
-1.0,6,-276.0
-1.0,41,-944.0
-1.0,5,-204.0
-1.0,27,-72.0
-1.0,10,-224.0
-1.0,24,-356.0
1.9157303370786516,601,682.0
-1.0,5,-248.0
-1.0,2,-192.0
-1.0,4,-140.0
-1.0,57,-400.0
-1.0,9,-404.0
-1.0,18,-572.0
-1.0,36,-412.0
-1.0,15,-164.0
-1.0,1,-260.0
