return,duration,dollar_pnl
9.205479452054794,1071,2688.0
-1.0,2,-244.0
-1.0,11,-404.0
-1.0,3,-708.0
-1.0,1217,-1452.0
-1.0,52,-272.0
-1.0,14,-232.0
-1.0,7,-176.0
-1.0,7,-32.0
-1.0,35,-380.0
-1.0,9,-332.0
13.723684210526315,4935,2086.0
-1.0,418,-132.0
-1.0,81,-196.0
-1.0,113,-868.0
14.392857142857142,7919,4836.0
-1.0,1204,-1264.0
-1.0,63,-344.0
-1.0,1,-56.0
-1.0,4,-196.0
-1.0,1,-36.0
-1.0,21,-564.0
-1.0,8,-268.0
7.520547945205479,2234,4392.0
0.2922077922077922,1,180.0
-1.0,3,-136.0
-1.0,97,-196.0
-1.0,1,-12.0
-1.0,37,-72.0
-1.0,543,-312.0
-1.0,9,-184.0
-1.0,5,-108.0
-1.0,1,-104.0
-1.0,373,-120.0
-1.0,23,-516.0
-1.0,7,-156.0
-1.0,24,-328.0
-1.0,1,-80.0
-1.0,5,-60.0
-1.0,4,-828.0
3.670774647887324,4551,4170.0
-1.0,11,-716.0
-1.0,7,-316.0
5.09765625,358,2610.0
5.585526315789474,218,1698.0000000000002
-1.0,383,-144.0
-1.0,71,-212.0
7.642857142857143,767,642.0
-1.0,30,-336.0
1.5139534883720929,431,1301.9999999999998
2.3402777777777777,1337,674.0
-1.0,43,-588.0
-1.0,62,-724.0
-1.0,62,-100.0
-1.0,1,-192.0
-1.0,3,-144.0
-1.0,8,-392.0
-1.0,1,-192.0
-1.0,2,-32.0
-1.0,3,-276.0
-1.0,42,-108.0
-1.0,111,-172.0
-1.0,1,-212.0
-1.0,16,-380.0
-1.0,259,-136.0
5.161290322580645,213,1920.0
-1.0,11,-312.0
-1.0,1,-16.0
-1.0,32,-288.0
-1.0,45,-396.0
-1.0,1,-100.0
6.399280575539569,1237,3558.0000000000005
-1.0,7,-284.0
-1.0,2,-216.0
-1.0,28,-416.0
-1.0,26,-396.0
0.6118421052631579,134,186.0
2.0454545454545454,204,270.0
-1.0,236,-164.0
2.6527777777777777,393,382.0
-1.0,1,-144.0
-1.0,1,-24.0
2.7475728155339807,1448,1132.0
5.445205479452055,1301,1590.0
0.721875,149,462.0
-1.0,2,-56.0
69.0,1142,1380.0
-1.0,9,-336.0
-1.0,1,-8.0
-1.0,85,-268.0
-1.0,975,-180.0
-1.0,63,-228.0
-1.0,202,-244.0
-1.0,61,-148.0
-1.0,1299,-956.0
-1.0,8,-624.0
-1.0,35,-820.0
-1.0,1,-76.0
-1.0,98,-88.0
2.9204081632653063,425,2862.0
-1.0,1,-140.0
-1.0,1,-428.0
-1.0,1,-76.0
-1.0,2,-792.0
-1.0,29,-460.0
-1.0,4329,-108.0
6.6976744186046515,1619,1152.0
-1.0,25,-1348.0
6.219827586206896,2423,2885.9999999999995
3.515625,119,450.0
3.686046511627907,118,634.0
-1.0,2,-120.0
-1.0,21,-424.0
0.20702179176755447,2,342.0
-1.0,52,-224.0
-1.0,1,-4.0
-1.0,1,-20.0
-1.0,1,-248.0
-1.0,1,-20.0
4.932203389830509,82,1164.0
-1.0,15,-648.0
-1.0,4,-208.0
-1.0,5,-176.0
-1.0,68,-564.0
-1.0,136,-344.0
-1.0,702,-560.0
1.719512195121951,108,845.9999999999999
-1.0,1,-108.0
-1.0,19,-216.0
-1.0,165,-272.0
-1.0,2,-84.0
-1.0,147,-84.0
-1.0,4,-284.0
-1.0,11,-560.0
-1.0,143,-420.0
-1.0,2,-76.0
-1.0,1,-20.0
-1.0,1,-8.0
-1.0,1,-8.0
-1.0,73,-188.0
-1.0,46,-64.0
-1.0,27,-188.0
-1.0,4,-20.0
-1.0,174,-72.0
-1.0,767,-196.0
-1.0,5,-108.0
-1.0,4,-372.0
-1.0,1,-16.0
-1.0,11,-624.0
-1.0,16,-636.0
-1.0,9,-324.0
-1.0,2,-88.0
3.289473684210526,1682,999.9999999999999
-1.0,349,-448.0
-1.0,19,-84.0
9.907894736842106,395,1506.0000000000002
-1.0,62,-148.0
-1.0,3,-64.0
-1.0,1,-8.0
-1.0,1,-4.0
-1.0,16,-56.0
-1.0,28,-488.0
-1.0,1,-88.0
-1.0,9,-328.0
-1.0,1,-52.0
-1.0,1,-40.0
-1.0,1,-40.0
-1.0,1,-24.0
-1.0,121,-196.0
-1.0,10,-216.0
2.1838235294117645,327,1188.0
-1.0,3,-260.0
-1.0,317,-460.0
-1.0,24,-420.0
-1.0,1,-24.0
-1.0,11,-196.0
-1.0,35,-92.0
-1.0,12,-112.0
-1.0,11,-224.0
-1.0,27,-960.0
-1.0,6,-808.0
6.532467532467533,1165,6036.0
-1.0,11,-72.0
-1.0,15,-96.0
-1.0,71,-64.0
-1.0,9,-148.0
-1.0,193,-292.0
-1.0,3,-120.0
-1.0,40,-8.0
-1.0,14,-320.0
-1.0,3,-1064.0
-1.0,118,-548.0
-1.0,13,-152.0
-1.0,5,-192.0
-1.0,2,-108.0
-1.0,67,-200.0
-1.0,5,-28.0
-1.0,1,-20.0
-1.0,1,-32.0
20.727272727272727,316,912.0
-1.0,11,-188.0
-1.0,123,-412.0
-1.0,17,-92.0
-1.0,1,-156.0
-1.0,2,-232.0
-1.0,1083,-552.0
1.4855769230769231,303,618.0
-1.0,1,-304.0
1.9397163120567376,268,1094.0
9.448453608247423,913,3666.0
-1.0,11,-204.0
-1.0,56,-136.0
-1.0,9,-228.0
-1.0,73,-452.0
-1.0,8,-192.0
-1.0,13,-124.0
-1.0,16,-92.0
-1.0,1,-96.0
2.3492063492063493,218,592.0
-1.0,1,-80.0
-1.0,16,-168.0
-1.0,1,-28.0
4.444099378881988,593,2862.0
-1.0,11,-712.0
2.930379746835443,6743,1852.0
-1.0,62,-260.0
-1.0,3,-96.0
-1.0,1,-12.0
-1.0,22,-120.0
-1.0,29,-212.0
-1.0,2,-72.0
-1.0,2,-192.0
-1.0,1,-172.0
-1.0,58,-436.0
-1.0,1,-124.0
-1.0,1,-60.0
-1.0,377,-200.0
3.716535433070866,4086,1888.0
-1.0,4,-132.0
-1.0,1,-40.0
-1.0,285,-72.0
-1.0,5,-184.0
-1.0,1,-8.0
-1.0,6,-352.0
-1.0,1,-152.0
-1.0,64,-472.0
-1.0,3,-152.0
-1.0,7,-220.0
-1.0,9,-184.0
-1.0,89,-144.0
-1.0,8,-224.0
-1.0,3,-148.0
-1.0,4,-152.0
-1.0,4,-24.0
-1.0,47,-224.0
-1.0,4,-72.0
-1.0,13,-164.0
-1.0,1,-32.0
-1.0,23,-88.0
15.0,70,2040.0
-1.0,2,-96.0
6.668067226890757,230,3174.0
-1.0,62,-476.0
-1.0,77,-724.0
-1.0,28,-420.0
-1.0,14,-768.0
-1.0,908,-472.0
-1.0,39,-392.0
2.073529411764706,50,564.0
-1.0,2,-68.0
-1.0,1,-112.0
8.142857142857142,148,3648.0
-1.0,3,-764.0
-1.0,15,-364.0
2.063451776649746,36,1625.9999999999998
-1.0,2,-176.0
2.043956043956044,433,744.0
-1.0,19,-348.0
-1.0,3,-68.0
-1.0,1,-100.0
-1.0,53,-144.0
-1.0,4,-340.0
-1.0,49,-944.0
7.012195121951219,104,3450.0
1.1986301369863013,182,700.0
6.214285714285715,791,2784.0000000000005
-1.0,20,-172.0
-1.0,48,-240.0
-1.0,3,-48.0
-1.0,11,-160.0
-1.0,5,-320.0
-1.0,71,-404.0
-1.0,8,-228.0
-1.0,337,-444.0
-1.0,10,-404.0
-1.0,8,-96.0
-1.0,16,-20.0
-1.0,13,-252.0
-1.0,87,-300.0
-1.0,56,-216.0
-1.0,92,-388.0
-1.0,5,-372.0
-1.0,3,-120.0
-1.0,15,-196.0
-1.0,10,-136.0
-1.0,1,-20.0
68.92500000000001,927,5514.000000000001
-1.0,326,-2492.0
-1.0,2,-88.0
-1.0,453,-1068.0
-1.0,107,-352.0
-1.0,2,-92.0
-1.0,4,-192.0
-1.0,31,-420.0
-1.0,12,-136.0
-1.0,1,-156.0
-1.0,21,-460.0
-1.0,6,-900.0
-1.0,4,-876.0
-1.0,26,-924.0
-1.0,564,-1368.0
-1.0,3,-248.0
-1.0,205,-508.0
-1.0,143,-772.0
1.1860986547085202,360,1058.0
-1.0,37,-636.0
-1.0,10,-408.0
-1.0,76,-148.0
-1.0,93,-492.0
-1.0,4,-12.0
-1.0,1,-220.0
-1.0,18,-1120.0
-1.0,33,-800.0
-1.0,1,-100.0
-1.0,6,-556.0
-1.0,1,-236.0
-1.0,127,-1176.0
4.445121951219512,102,1458.0
7.042857142857143,1504,1972.0
-1.0,12,-324.0
-1.0,2,-116.0
-1.0,20,-224.0
-1.0,243,-128.0
-1.0,10,-188.0
-1.0,12,-92.0
-1.0,5,-112.0
-1.0,109,-368.0
-1.0,333,-416.0
-1.0,22,-144.0
-1.0,1,-112.0
11.309859154929578,387,3212.0
-1.0,8,-984.0
-1.0,9,-628.0
-1.0,14,-328.0
-1.0,29,-336.0
-1.0,5,-72.0
-1.0,1,-196.0
-1.0,16,-812.0
-1.0,54,-220.0
-1.0,7,-872.0
-1.0,29,-1728.0
19.223684210526315,60,5844.0
-1.0,2,-972.0
-1.0,9,-1836.0
-1.0,68,-1820.0
-1.0,3,-356.0
-1.0,4,-680.0
-1.0,89,-1000.0
2.5402298850574714,542,884.0
-1.0,40,-320.0
-1.0,1,-44.0
-1.0,16,-264.0
-1.0,1,-80.0
-1.0,1,-188.0
-1.0,1,-36.0
-1.0,13,-1672.0
-1.0,27,-692.0
-1.0,7,-840.0
-1.0,302,-164.0
-1.0,1,-60.0
-1.0,79,-164.0
-1.0,83,-148.0
10.6875,340,1026.0
-1.0,43,-180.0
-1.0,76,-128.0
-1.0,55,-560.0
-1.0,4,-300.0
-1.0,30,-172.0
-1.0,25,-392.0
-1.0,47,-336.0
-1.0,6,-212.0
-1.0,1,-68.0
-1.0,126,-188.0
-1.0,11,-420.0
-1.0,2,-108.0
-1.0,27,-120.0
-1.0,2,-208.0
-1.0,1,-180.0
-1.0,40,-452.0
5.395833333333333,560,1554.0
15.652173913043478,48,1440.0
-1.0,6,-164.0
-1.0,742,-132.0
1.8688524590163935,257,456.0
2.8914473684210527,35,1758.0
-1.0,1,-64.0
-1.0,7,-96.0
-1.0,7,-64.0
-1.0,2,-108.0
-1.0,5,-32.0
-1.0,95,-204.0
-1.0,173,-484.0
2.611111111111111,188,846.0
-1.0,69,-340.0
2.4528688524590168,161,2394.0000000000005
-1.0,28,-548.0
-1.0,3,-492.0
2.9634146341463414,1382,972.0
-1.0,13,-544.0
-1.0,3,-360.0
1.4371980676328502,563,1190.0
-1.0,17,-1184.0
-1.0,3,-260.0
-1.0,9,-272.0
-1.0,2105,-1148.0
-1.0,25,-1220.0
-1.0,9,-744.0
-1.0,8,-216.0
-1.0,22,-24.0
-1.0,9,-240.0
-1.0,5,-84.0
-1.0,13,-124.0
-1.0,23,-208.0
-1.0,38,-188.0
-1.0,453,-1508.0
-1.0,39,-1136.0
-1.0,1,-276.0
-1.0,4,-920.0
-1.0,9,-980.0
-1.0,11,-1028.0
-1.0,13,-672.0
-1.0,1,-8.0
-1.0,12,-116.0
-1.0,5,-148.0
-1.0,30,-428.0
-1.0,44,-868.0
-1.0,9,-524.0
-1.0,69,-696.0
-1.0,40,-112.0
-1.0,63,-196.0
3.9473684210526314,284,600.0
1.521551724137931,72,706.0
0.5317460317460317,45,402.0
3.5084745762711864,279,1656.0
-1.0,17,-252.0
-1.0,9,-348.0
-1.0,10,-196.0
-1.0,5,-168.0
-1.0,55,-188.0
-1.0,1,-68.0
-1.0,21,-128.0
-1.0,4,-84.0
-1.0,2,-128.0
-1.0,44,-188.0
-1.0,9,-100.0
-1.0,159,-260.0
-1.0,6,-164.0
-1.0,29,-160.0
-1.0,62,-40.0
-1.0,3,-72.0
-1.0,6,-64.0
-1.0,38,-152.0
-1.0,438,-168.0
0.4209039548022599,21,298.0
-1.0,20,-484.0
0.7608695652173914,71,350.0
-1.0,45,-236.0
-1.0,65,-220.0
-1.0,11,-184.0
-1.0,26,-172.0
-1.0,33,-136.0
-1.0,6,-256.0
-1.0,308,-452.0
-1.0,16,-184.0
-1.0,14,-220.0
-1.0,1,-380.0
-1.0,5,-860.0
-1.0,2,-420.0
-1.0,4,-320.0
-1.0,16,-560.0
-1.0,131,-144.0
-1.0,20,-176.0
-1.0,22,-164.0
-1.0,1,-88.0
-1.0,1,-168.0
-1.0,99,-260.0
-1.0,9,-276.0
2.4043478260869566,72,1106.0
0.14684466019417475,24,241.99999999999997
-1.0,1,-260.0
-1.0,1,-60.0
-1.0,1,-228.0
-1.0,29,-888.0
-1.0,35,-272.0
-1.0,29,-76.0
-1.0,12,-232.0
-1.0,36,-208.0
-1.0,14,-240.0
-1.0,26,-108.0
-1.0,11,-240.0
-1.0,3,-176.0
-1.0,35,-164.0
2.4838709677419355,201,1232.0
-1.0,1,-112.0
-1.0,1,-76.0
8.097087378640778,1001,3336.0000000000005
-1.0,56,-432.0
-1.0,31,-324.0
-1.0,34,-712.0
-1.0,7,-460.0
-1.0,37,-264.0
-1.0,1,-88.0
-1.0,3,-152.0
-1.0,4,-436.0
-1.0,2,-248.0
-1.0,3,-76.0
-1.0,5,-532.0
6.193548387096774,571,2304.0
-1.0,26,-460.0
1.4644268774703557,1294,1482.0
6.506622516556291,200,3930.0
-1.0,1,-16.0
-1.0,2,-216.0
-1.0,12,-300.0
-1.0,7,-284.0
-1.0,10,-344.0
-1.0,8,-120.0
-1.0,266,-144.0
-1.0,11,-192.0
19.166666666666668,539,1150.0
-1.0,9,-144.0
6.5426829268292686,1296,2146.0
2.832692307692308,1779,5892.0
-1.0,18,-188.0
-1.0,1,-692.0
-1.0,4,-208.0
-1.0,3,-512.0
-1.0,8,-496.0
-1.0,30,-96.0
-1.0,1,-132.0
-1.0,20,-248.0
-1.0,12,-144.0
-1.0,2,-764.0
-1.0,3,-1132.0
-1.0,1,-224.0
-1.0,1744,-1116.0
-1.0,5,-1004.0
-1.0,9,-272.0
-1.0,16,-576.0
-1.0,2,-248.0
-1.0,9,-568.0
-1.0,5,-896.0
-1.0,2,-236.0
-1.0,94,-536.0
-1.0,59,-816.0
-1.0,5,-156.0
-1.0,2,-440.0
1.6884057971014492,41,1398.0
-1.0,3,-1384.0
-1.0,17,-700.0
-1.0,10,-324.0
-1.0,2,-172.0
-1.0,63,-1192.0
-1.0,1,-28.0
-1.0,125,-208.0
10.114864864864865,219,2994.0
1.1802507836990597,1323,1506.0000000000002
-1.0,1,-292.0
-1.0,1399,-1484.0
-1.0,20,-1212.0
-1.0,1,-8.0
-1.0,2,-576.0
-1.0,1,-128.0
-1.0,1,-388.0
-1.0,1,-48.0
-1.0,8,-196.0
-1.0,25,-172.0
-1.0,15,-236.0
-1.0,14,-144.0
11.29245283018868,304,2394.0
-1.0,1,-212.0
-1.0,46,-268.0
-1.0,53,-356.0
-1.0,41,-1012.0
-1.0,13,-676.0
-1.0,4,-296.0
-1.0,98,-504.0
2.951923076923077,100,1228.0
-1.0,30,-1568.0
13.155,987,5262.0
-1.0,37,-500.0
-1.0,693,-332.0
-1.0,18,-316.0
-1.0,4,-268.0
-1.0,17,-180.0
-1.0,137,-308.0
-1.0,43,-3004.0
-1.0,2,-384.0
3.6470588235294117,3244,2728.0
-1.0,13,-208.0
12.156976744186046,3049,8364.0
-1.0,49,-776.0
-1.0,1,-24.0
-1.0,11,-96.0
-1.0,31,-112.0
-1.0,3,-116.0
-1.0,547,-176.0
-1.0,2,-180.0
-1.0,8,-536.0
-1.0,29,-688.0
-1.0,15,-844.0
43.45652173913044,2496,3998.0
-1.0,5,-1320.0
-1.0,10,-940.0
-1.0,2,-680.0
-1.0,25,-268.0
-1.0,361,-196.0
-1.0,80,-1316.0
-1.0,87,-1216.0
-1.0,25,-684.0
-1.0,107,-892.0
-1.0,214,-1520.0
-1.0,25,-248.0
-1.0,19,-632.0
-1.0,4,-228.0
-1.0,169,-320.0
-1.0,5,-28.0
-1.0,680,-572.0
-1.0,1,-80.0
-1.0,10,-164.0
-1.0,58,-96.0
-1.0,12,-128.0
-1.0,21,-500.0
-1.0,8,-492.0
-1.0,1,-96.0
-1.0,27,-340.0
-1.0,509,-1488.0
-1.0,13,-304.0
-1.0,8,-520.0
-1.0,134,-556.0
-1.0,1,-12.0
-1.0,78,-996.0
-1.0,25,-912.0
-1.0,46,-472.0
-1.0,2,-864.0
-1.0,3,-620.0
-1.0,25,-1156.0
-1.0,122,-1000.0
-1.0,18,-1756.0
-1.0,12,-940.0
-1.0,96,-772.0
-1.0,8,-204.0
-1.0,4,-404.0
-1.0,1,-88.0
-1.0,158,-872.0
-1.0,308,-516.0
0.47115384615384615,156,686.0
-1.0,6,-276.0
0.5864661654135338,408,624.0
3.1015625,566,1588.0
-1.0,4,-204.0
3.3966666666666665,616,2038.0
-1.0,2,-180.0
2.6820809248554913,345,5568.0
-1.0,18,-860.0
-1.0,5,-796.0
-1.0,17,-936.0
-1.0,9,-920.0
-1.0,1,-48.0
-1.0,32,-572.0
-1.0,41,-944.0
-1.0,224,-676.0
-1.0,246,-292.0
-1.0,28,-308.0
-1.0,118,-148.0
-1.0,519,-300.0
9.995999999999999,2352,9995.999999999998
-1.0,5,-204.0
-1.0,80,-640.0
-1.0,1,-376.0
-1.0,12,-624.0
-1.0,27,-464.0
-1.0,9,-132.0
-1.0,61,-296.0
-1.0,25,-140.0
-1.0,1,-124.0
-1.0,1,-88.0
-1.0,14,-80.0
-1.0,10,-296.0
-1.0,27,-72.0
-1.0,10,-224.0
5.484732824427481,778,2874.0
-1.0,1,-52.0
-1.0,8,-368.0
-1.0,3,-220.0
-1.0,2,-96.0
-1.0,59,-140.0
-1.0,236,-344.0
-1.0,4,-128.0
-1.0,39,-88.0
-1.0,233,-104.0
-1.0,27,-64.0
-1.0,3,-68.0
-1.0,9,-136.0
-1.0,26,-48.0
9.549999999999999,197,2291.9999999999995
11.785714285714285,3579,6929.999999999999
-1.0,107,-324.0
-1.0,4,-768.0
-1.0,43,-336.0
-1.0,105,-332.0
0.9915254237288136,101,468.0
-1.0,2,-36.0
-1.0,2,-192.0
-1.0,26,-220.0
-1.0,249,-672.0
-1.0,24,-356.0
-1.0,24,-352.0
-1.0,3,-432.0
-1.0,1120,-692.0
-1.0,68,-60.0
-1.0,19,-224.0
-1.0,1,-96.0
5.44811320754717,554,2310.0
-1.0,24,-336.0
-1.0,31,-220.0
-1.0,1,-32.0
-1.0,40,-472.0
-1.0,1,-164.0
-1.0,2,-144.0
-1.0,5,-356.0
-1.0,27,-376.0
-1.0,28,-228.0
-1.0,1,-72.0
-1.0,18,-52.0
-1.0,5,-216.0
-1.0,70,-580.0
-1.0,200,-592.0
-1.0,3,-92.0
-1.0,102,-148.0
4.166666666666667,598,850.0000000000001
1.9157303370786516,601,682.0
-1.0,37,-400.0
-1.0,20,-120.0
-1.0,7,-116.0
-1.0,3,-392.0
-1.0,3,-260.0
-1.0,30,-676.0
-1.0,1,-208.0
-1.0,61,-508.0
-1.0,26,-180.0
-1.0,5,-468.0
-1.0,10,-384.0
-1.0,7,-248.0
-1.0,1,-52.0
8.41304347826087,1233,2322.0
-1.0,1,-140.0
-1.0,55,-1036.0
-1.0,4,-812.0
-1.0,1,-172.0
-1.0,212,-796.0
2.9262295081967213,859,3570.0
-1.0,49,-380.0
-1.0,27,-280.0
-1.0,64,-276.0
-1.0,49,-572.0
-1.0,2,-516.0
-1.0,5,-408.0
-1.0,29,-428.0
-1.0,19,-648.0
-1.0,1,-52.0
-1.0,11,-56.0
-1.0,25,-256.0
-1.0,5,-248.0
2.0357142857142856,99,798.0
0.9848024316109423,55,1296.0
-1.0,12,-300.0
-1.0,1,-28.0
-1.0,5,-340.0
-1.0,3,-192.0
-1.0,64,-304.0
-1.0,167,-272.0
-1.0,6,-524.0
-1.0,1,-68.0
-1.0,1,-44.0
-1.0,48,-72.0
-1.0,2,-192.0
-1.0,1,-252.0
-1.0,3,-256.0
-1.0,47,-352.0
-1.0,174,-256.0
-1.0,41,-2288.0
-1.0,1,-40.0
