return,duration,dollar_pnl
-1.0,18,-100.0
-1.0,90,-280.0
-1.0,2,-128.0
-1.0,5,-120.0
-1.0,21,-164.0
-1.0,50,-152.0
-1.0,59,-152.0
-1.0,38,-436.0
7.681818181818182,253,2028.0
-1.0,43,-332.0
-1.0,32,-168.0
-1.0,5,-240.0
-1.0,11,-152.0
-1.0,2,-152.0
-1.0,29,-72.0
-1.0,19,-624.0
-1.0,6,-388.0
-1.0,8,-468.0
-1.0,1,-8.0
-1.0,1,-20.0
2.9423076923076925,2523,1530.0
-1.0,43,-576.0
3.6186440677966103,993,854.0
9.205479452054794,1071,2688.0
-1.0,113,-624.0
-1.0,2,-244.0
-1.0,11,-404.0
-1.0,3,-708.0
-1.0,1217,-1452.0
-1.0,5,-104.0
-1.0,27,-372.0
-1.0,118,-280.0
-1.0,117,-320.0
-1.0,203,-104.0
0.9727272727272728,105,214.0
1.875,41,420.0
2.4183673469387754,125,474.0
-1.0,52,-272.0
-1.0,14,-232.0
-1.0,7,-176.0
-1.0,7,-32.0
-1.0,35,-380.0
-1.0,9,-332.0
13.723684210526315,4935,2086.0
-1.0,81,-196.0
-1.0,113,-868.0
14.392857142857142,7919,4836.0
-1.0,9,-368.0
-1.0,106,-72.0
-1.0,70,-124.0
-1.0,20,-112.0
2.197080291970803,1329,1204.0
1.9072847682119205,270,1152.0
-1.0,792,-88.0
-1.0,2,-80.0
-1.0,1204,-1264.0
-1.0,63,-344.0
-1.0,1,-56.0
-1.0,4,-196.0
-1.0,1,-36.0
-1.0,21,-564.0
-1.0,8,-268.0
-1.0,3,-248.0
-1.0,1,-84.0
-1.0,1,-20.0
-1.0,1,-28.0
-1.0,67,-52.0
-1.0,70,-660.0
7.520547945205479,2234,4392.0
-1.0,51,-156.0
-1.0,36,-232.0
-1.0,147,-148.0
0.2922077922077922,1,180.0
-1.0,390,-420.0
-1.0,69,-164.0
-1.0,44,-228.0
-1.0,35,-188.0
1.0234375,67,262.0
1.8026315789473684,4,274.0
-1.0,27,-356.0
-1.0,18,-676.0
-1.0,46,-668.0
-1.0,109,-664.0
-1.0,69,-320.0
1.5215827338129495,840,2538.0
-1.0,3,-136.0
-1.0,97,-196.0
-1.0,1,-12.0
-1.0,37,-72.0
-1.0,543,-312.0
