return,duration,dollar_pnl
-1.0,217,-108.0
-1.0,18,-100.0
-1.0,90,-280.0
-1.0,2,-128.0
-1.0,21,-164.0
5.507299270072993,1409,3018.0
-1.0,50,-152.0
-1.0,59,-152.0
-1.0,57,-288.0
-1.0,96,-160.0
4.085106382978723,88,767.9999999999999
-1.0,38,-436.0
-1.0,43,-332.0
-1.0,5,-240.0
-1.0,2,-108.0
-1.0,24,-104.0
-1.0,14,-176.0
-1.0,421,-216.0
-1.0,6,-152.0
-1.0,6,-68.0
-1.0,15,-124.0
3.46,86,1038.0
-1.0,6,-124.0
-1.0,15,-208.0
-1.0,1,-256.0
0.5242718446601942,247,432.0
-1.0,2,-276.0
5.198863636363637,257,1830.0
-1.0,19,-624.0
-1.0,171,-220.0
-1.0,11,-184.0
-1.0,37,-192.0
-1.0,12,-136.0
3.581818181818182,606,788.0
-1.0,4,-340.0
-1.0,43,-576.0
3.6186440677966103,993,854.0
-1.0,2,-244.0
-1.0,11,-404.0
-1.0,1217,-1452.0
-1.0,5,-104.0
6.382352941176471,125,2604.0
-1.0,1,-136.0
-1.0,3,-644.0
-1.0,118,-280.0
-1.0,117,-320.0
-1.0,203,-104.0
0.9727272727272728,105,214.0
1.875,41,420.0
-1.0,3,-156.0
-1.0,5,-52.0
2.4183673469387754,125,474.0
-1.0,52,-272.0
-1.0,14,-232.0
-1.0,35,-380.0
-1.0,9,-332.0
13.723684210526315,4935,2086.0
-1.0,2,-284.0
-1.0,114,-380.0
-1.0,113,-212.0
2.581730769230769,356,1074.0
2.084070796460177,3670,942.0
-1.0,418,-132.0
-1.0,113,-868.0
-1.0,5,-164.0
-1.0,13,-164.0
-1.0,187,-128.0
-1.0,70,-124.0
2.197080291970803,1329,1204.0
1.9072847682119205,270,1152.0
-1.0,5,-408.0
-1.0,68,-188.0
-1.0,792,-88.0
-1.0,4,-120.0
-1.0,5,-168.0
-1.0,20,-176.0
-1.0,2,-80.0
-1.0,557,-440.0
-1.0,6,-172.0
-1.0,1204,-1264.0
1.1911764705882353,24,162.0
-1.0,63,-344.0
-1.0,21,-564.0
7.520547945205479,2234,4392.0
-1.0,36,-232.0
-1.0,1,-148.0
1.3983050847457628,14,660.0
0.2922077922077922,1,180.0
-1.0,60,-276.0
-1.0,34,-264.0
-1.0,424,-244.0
-1.0,7,-60.0
8.11111111111111,32,876.0
-1.0,44,-228.0
-1.0,35,-188.0
1.0234375,67,262.0
1.8026315789473684,4,274.0
-1.0,27,-356.0
-1.0,18,-676.0
-1.0,144,-256.0
-1.0,2,-64.0
-1.0,2,-28.0
0.16326530612244897,57,95.99999999999999
-1.0,19,-164.0
1.1145038167938932,402,584.0
-1.0,6,-292.0
-1.0,50,-300.0
-1.0,97,-196.0
-1.0,543,-312.0
-1.0,1,-44.0
-1.0,9,-184.0
-1.0,5,-108.0
-1.0,3,-136.0
1.4272727272727272,134,314.0
3.819587628865979,89,1482.0
-1.0,1,-80.0
-1.0,36,-160.0
-1.0,317,-168.0
-1.0,13,-44.0
4.125,57,1320.0
-1.0,6,-224.0
-1.0,24,-300.0
-1.0,5,-60.0
-1.0,12,-88.0
4.9411764705882355,537,336.0
-1.0,1,-16.0
-1.0,33,-124.0
-1.0,6,-200.0
-1.0,7,-60.0
12.75,33,1836.0
-1.0,2,-368.0
2.853211009174312,3089,1244.0
-1.0,6,-188.0
4.041666666666667,129,582.0
-1.0,204,-200.0
-1.0,3,-232.0
-1.0,191,-448.0
-1.0,4,-828.0
3.670774647887324,4551,4170.0
-1.0,73,-400.0
-1.0,3,-64.0
-1.0,230,-240.0
-1.0,403,-288.0
-1.0,3,-132.0
-1.0,25,-236.0
