return,duration,dollar_pnl
-1.0,18,-100.0
-1.0,90,-280.0
-1.0,5,-120.0
-1.0,21,-164.0
-1.0,50,-152.0
-1.0,59,-152.0
-1.0,112,-172.0
-1.0,96,-160.0
4.085106382978723,88,767.9999999999999
7.681818181818182,253,2028.0
-1.0,43,-332.0
-1.0,32,-168.0
-1.0,5,-240.0
-1.0,2,-108.0
-1.0,24,-104.0
-1.0,14,-176.0
-1.0,421,-216.0
-1.0,11,-152.0
-1.0,2,-152.0
-1.0,29,-72.0
-1.0,6,-68.0
-1.0,15,-124.0
3.46,86,1038.0
-1.0,6,-124.0
-1.0,15,-208.0
-1.0,2,-276.0
5.198863636363637,257,1830.0
-1.0,19,-624.0
-1.0,6,-388.0
-1.0,8,-468.0
-1.0,1,-8.0
-1.0,1,-20.0
2.9423076923076925,2523,1530.0
-1.0,171,-220.0
-1.0,11,-184.0
-1.0,37,-192.0
-1.0,12,-136.0
3.581818181818182,606,788.0
-1.0,4,-340.0
-1.0,236,-616.0
3.6186440677966103,993,854.0
9.205479452054794,1071,2688.0
-1.0,113,-624.0
-1.0,2,-244.0
-1.0,11,-404.0
-1.0,3,-708.0
-1.0,1217,-1452.0
-1.0,5,-104.0
-1.0,13,-116.0
-1.0,7,-112.0
-1.0,27,-372.0
6.382352941176471,125,2604.0
-1.0,1,-148.0
-1.0,1,-136.0
-1.0,1,-84.0
-1.0,1,-68.0
-1.0,2,-100.0
-1.0,3,-644.0
-1.0,9,-160.0
-1.0,118,-280.0
-1.0,203,-104.0
1.875,41,420.0
-1.0,3,-156.0
-1.0,5,-52.0
-1.0,7,-32.0
-1.0,149,-276.0
2.4183673469387754,125,474.0
-1.0,52,-272.0
-1.0,14,-232.0
-1.0,7,-176.0
-1.0,7,-32.0
-1.0,35,-380.0
-1.0,9,-332.0
13.723684210526315,4935,2086.0
-1.0,2,-284.0
-1.0,114,-380.0
-1.0,190,-300.0
2.581730769230769,356,1074.0
-1.0,418,-132.0
-1.0,81,-196.0
-1.0,113,-868.0
14.392857142857142,7919,4836.0
-1.0,5,-164.0
-1.0,13,-164.0
-1.0,3,-60.0
-1.0,187,-128.0
-1.0,9,-368.0
-1.0,106,-72.0
-1.0,70,-124.0
-1.0,20,-112.0
2.197080291970803,1329,1204.0
