return,duration,dollar_pnl
7.681818181818182,253,2028.0
-1.0,1,-256.0
0.5242718446601942,247,432.0
-1.0,4,-340.0
-1.0,236,-616.0
-1.0,2,-244.0
-1.0,11,-404.0
-1.0,3,-708.0
-1.0,1217,-1452.0
-1.0,1,-148.0
-1.0,1,-136.0
-1.0,1,-84.0
-1.0,1,-68.0
-1.0,2,-100.0
-1.0,3,-644.0
-1.0,9,-160.0
-1.0,14,-232.0
-1.0,7,-176.0
-1.0,7,-32.0
-1.0,35,-380.0
-1.0,9,-332.0
13.723684210526315,4935,2086.0
-1.0,81,-196.0
-1.0,9,-368.0
2.197080291970803,1329,1204.0
-1.0,557,-440.0
-1.0,3,-248.0
-1.0,1,-84.0
-1.0,1,-20.0
-1.0,1,-28.0
-1.0,67,-52.0
-1.0,70,-660.0
-1.0,1,-148.0
1.3983050847457628,14,660.0
0.2922077922077922,1,180.0
-1.0,18,-676.0
-1.0,46,-668.0
-1.0,109,-664.0
5.137499999999999,110,1643.9999999999998
3.819587628865979,89,1482.0
-1.0,23,-516.0
-1.0,7,-156.0
-1.0,24,-328.0
-1.0,1,-44.0
-1.0,7,-8.0
-1.0,6,-224.0
-1.0,36,-272.0
-1.0,1,-100.0
-1.0,6,-252.0
-1.0,2,-368.0
2.853211009174312,3089,1244.0
-1.0,4,-828.0
3.670774647887324,4551,4170.0
-1.0,11,-716.0
-1.0,7,-316.0
5.09765625,358,2610.0
1.2226277372262773,1340,669.9999999999999
1.5139534883720929,431,1301.9999999999998
-1.0,109,-404.0
2.41726618705036,921,1344.0
-1.0,1,-36.0
-1.0,1,-76.0
8.930769230769231,121,2322.0
0.5,17,242.0
-1.0,6,-368.0
-1.0,5,-396.0
-1.0,1,-108.0
-1.0,45,-1104.0
-1.0,2,-696.0
-1.0,245,-988.0
-1.0,2,-96.0
-1.0,5,-164.0
-1.0,1,-336.0
-1.0,119,-268.0
0.5882352941176471,23,400.0
6.595238095238096,46,1662.0000000000002
-1.0,7,-520.0
-1.0,1,-272.0
-1.0,2,-444.0
-1.0,1,-196.0
-1.0,37,-696.0
-1.0,282,-348.0
-1.0,48,-192.0
-1.0,4,-396.0
0.4358974358974359,8,272.0
1.7443820224719102,50,1242.0
-1.0,1,-212.0
-1.0,16,-380.0
-1.0,96,-380.0
-1.0,1,-52.0
9.884615384615383,167,3083.9999999999995
-1.0,7,-284.0
-1.0,2,-216.0
-1.0,28,-416.0
-1.0,26,-396.0
-1.0,15,-420.0
-1.0,2,-156.0
-1.0,93,-216.0
-1.0,4,-140.0
5.445205479452055,1301,1590.0
0.721875,149,462.0
-1.0,4,-604.0
-1.0,99,-1116.0
-1.0,1317,-708.0
-1.0,46,-248.0
-1.0,1299,-956.0
-1.0,8,-624.0
-1.0,35,-820.0
-1.0,1,-76.0
-1.0,98,-88.0
-1.0,4,-556.0
-1.0,2,-444.0
-1.0,3,-988.0
-1.0,20,-1232.0
4.923333333333333,12054,2953.9999999999995
-1.0,15,-16.0
-1.0,11,-1452.0
0.4206896551724138,32,488.0
-1.0,27,-484.0
-1.0,38,-320.0
-1.0,1,-56.0
7.379310344827585,29,2567.9999999999995
-1.0,1,-140.0
-1.0,1,-428.0
-1.0,1,-76.0
-1.0,2,-792.0
-1.0,29,-460.0
-1.0,4329,-108.0
0.3225806451612903,3,240.0
-1.0,1,-68.0
6.133333333333334,19,368.0
-1.0,20,-240.0
-1.0,11,-248.0
-1.0,77,-464.0
-1.0,1,-12.0
-1.0,2,-444.0
1.11875,387,716.0
3.515625,119,450.0
-1.0,1,-20.0
-1.0,1,-248.0
-1.0,1,-20.0
4.932203389830509,82,1164.0
-1.0,15,-648.0
-1.0,4,-208.0
-1.0,1,-268.0
-1.0,5,-176.0
-1.0,68,-564.0
-1.0,1,-272.0
-1.0,1,-196.0
-1.0,30,-868.0
-1.0,136,-344.0
-1.0,73,-128.0
-1.0,615,-400.0
1.356,60,678.0
-1.0,21,-176.0
-1.0,11,-672.0
-1.0,78,-264.0
-1.0,2,-576.0
-1.0,2,-308.0
-1.0,5,-952.0
8.648936170212766,8198,8130.0
-1.0,4,-372.0
-1.0,1,-16.0
-1.0,11,-624.0
-1.0,16,-636.0
-1.0,9,-324.0
-1.0,2,-88.0
3.289473684210526,1682,999.9999999999999
5.09375,1245,2934.0
-1.0,30,-736.0
-1.0,26,-276.0
-1.0,4,-124.0
-1.0,26,-416.0
-1.0,1236,-376.0
-1.0,28,-488.0
-1.0,1,-88.0
-1.0,9,-328.0
-1.0,1,-52.0
-1.0,1,-40.0
-1.0,1,-40.0
-1.0,1,-24.0
-1.0,121,-196.0
-1.0,4,-444.0
-1.0,47,-220.0
-1.0,37,-100.0
-1.0,6,-276.0
-1.0,24,-420.0
-1.0,1,-24.0
-1.0,11,-196.0
-1.0,35,-92.0
-1.0,12,-112.0
-1.0,11,-224.0
-1.0,3,-376.0
-1.0,46,-368.0
-1.0,1251,-216.0
-1.0,13,-152.0
-1.0,5,-192.0
-1.0,2,-108.0
-1.0,67,-200.0
-1.0,11,-188.0
-1.0,123,-412.0
-1.0,17,-92.0
-1.0,1,-156.0
-1.0,2,-232.0
9.448453608247423,913,3666.0
7.342105263157894,20,1115.9999999999998
-1.0,6,-292.0
-1.0,6,-484.0
-1.0,9,-236.0
-1.0,11,-580.0
1.549618320610687,195,812.0
-1.0,1,-96.0
2.3492063492063493,218,592.0
-1.0,1,-8.0
-1.0,1,-36.0
-1.0,2,-332.0
-1.0,33,-508.0
-1.0,2,-212.0
-1.0,1,-144.0
-1.0,24,-176.0
-1.0,34,-196.0
-1.0,2,-104.0
-1.0,61,-788.0
-1.0,167,-756.0
-1.0,3,-240.0
3.716535433070866,4086,1888.0
-1.0,5,-184.0
-1.0,1,-8.0
-1.0,6,-352.0
-1.0,2,-100.0
-1.0,1,-152.0
-1.0,64,-472.0
-1.0,3,-152.0
-1.0,7,-220.0
-1.0,1,-164.0
-1.0,7,-648.0
-1.0,26,-116.0
-1.0,2,-188.0
-1.0,137,-328.0
15.0,70,2040.0
-1.0,4,-580.0
-1.0,68,-3100.0
1.9637096774193548,79,974.0
6.5701754385964914,753,1498.0
-1.0,3,-632.0
5.590243902439025,155,4584.0
0.4714285714285714,1,264.0
-1.0,2,-68.0
-1.0,1,-112.0
8.142857142857142,148,3648.0
-1.0,49,-944.0
7.012195121951219,104,3450.0
-1.0,7,-344.0
-1.0,133,-900.0
-1.0,10,-404.0
-1.0,8,-96.0
-1.0,16,-20.0
-1.0,13,-252.0
-1.0,87,-300.0
-1.0,7,-396.0
-1.0,2,-144.0
-1.0,5,-120.0
-1.0,26,-160.0
-1.0,2,-304.0
-1.0,1313,-920.0
-1.0,51,-228.0
-1.0,2,-388.0
-1.0,3,-592.0
-1.0,34,-928.0
-1.0,58,-588.0
-1.0,39,-396.0
-1.0,4,-416.0
-1.0,40,-324.0
-1.0,21,-356.0
-1.0,9,-260.0
0.4852941176470589,25,330.00000000000006
-1.0,159,-852.0
3.9725274725274726,272,1446.0
-1.0,326,-2492.0
-1.0,1,-4.0
-1.0,4,-760.0
-1.0,453,-1068.0
-1.0,1,-56.0
-1.0,24,-208.0
-1.0,2,-192.0
-1.0,21,-604.0
-1.0,12,-456.0
